Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2020-06-24 00:00:00-04:00,61.313710777660184,62.255110771186814,61.174548983920516,62.15687561035156,7982000,0.0,0.0,GILD
2020-06-25 00:00:00-04:00,62.05046069140319,62.11594455506827,60.8471064791445,61.796688079833984,7172900,0.0,0.0,GILD
2020-06-26 00:00:00-04:00,61.477436363951995,61.6984639380595,60.3559478240442,61.043575286865234,10389200,0.0,0.0,GILD
2020-06-29 00:00:00-04:00,62.64804322133373,62.67260045185712,60.69157141354688,61.03538513183594,8775300,0.0,0.0,GILD
2020-06-30 00:00:00-04:00,60.85528088822259,63.16376012249862,60.503285645370944,62.983665466308594,9402600,0.0,0.0,GILD
2020-07-01 00:00:00-04:00,63.11462756871119,63.2210505249137,62.132301213707215,62.263275146484375,7786900,0.0,0.0,GILD
2020-07-02 00:00:00-04:00,62.467937780590745,63.10645064617747,61.92766006566341,62.50068283081055,6381000,0.0,0.0,GILD
2020-07-06 00:00:00-04:00,63.450278500640174,63.57307089297955,62.27148152695102,62.83632278442383,7056600,0.0,0.0,GILD
2020-07-07 00:00:00-04:00,62.61529712796133,63.00004372106812,62.46794750178172,62.5579948425293,5055700,0.0,0.0,GILD
2020-07-08 00:00:00-04:00,62.787195754261994,63.032780514197576,61.33826315798574,61.89491653442383,6293500,0.0,0.0,GILD
2020-07-09 00:00:00-04:00,61.48560538880277,62.08318532322222,60.5360177594799,61.15816116333008,5199800,0.0,0.0,GILD
2020-07-10 00:00:00-04:00,62.29603296521982,62.90998862436223,61.821239089901184,62.47612762451172,9553800,0.0,0.0,GILD
2020-07-13 00:00:00-04:00,62.63984423228394,64.12970965815917,62.17323819905597,62.77082443237305,9626600,0.0,0.0,GILD
2020-07-14 00:00:00-04:00,62.386074462888516,63.319286477908015,61.75574945977088,63.18831253051758,6904200,0.0,0.0,GILD
2020-07-15 00:00:00-04:00,63.0246042868578,63.270189091982,62.41064851952835,62.746280670166016,6018800,0.0,0.0,GILD
2020-07-16 00:00:00-04:00,62.70533020847887,62.82812257661698,61.911279972728984,62.738075256347656,4862200,0.0,0.0,GILD
2020-07-17 00:00:00-04:00,62.64804100934351,63.56488380455638,62.38608681720848,63.450279235839844,6940100,0.0,0.0,GILD
2020-07-20 00:00:00-04:00,63.64675855292433,64.62090386566484,63.26201187493499,63.916900634765625,6974400,0.0,0.0,GILD
2020-07-21 00:00:00-04:00,63.319309269948945,63.843217739052356,62.70535344720449,62.85270309448242,5636600,0.0,0.0,GILD
2020-07-22 00:00:00-04:00,62.926365997392274,63.23743462484391,62.181430112719,62.418827056884766,4734800,0.0,0.0,GILD
2020-07-23 00:00:00-04:00,62.56618337094446,62.86907045190704,61.69846125451213,61.8539924621582,5854400,0.0,0.0,GILD
2020-07-24 00:00:00-04:00,61.78033770225981,61.927687370477635,59.85661043337553,60.282283782958984,8149000,0.0,0.0,GILD
2020-07-27 00:00:00-04:00,60.486916251631534,61.059939084686995,60.02031016029195,61.019012451171875,7678500,0.0,0.0,GILD
2020-07-28 00:00:00-04:00,61.12541322483282,61.42830021202651,60.257691377033126,60.355926513671875,5484400,0.0,0.0,GILD
2020-07-29 00:00:00-04:00,60.454171747968445,60.454171747968445,59.37360993473926,59.766544342041016,8345200,0.0,0.0,GILD
